"Root","ClusterLabel"
"ak",1
"bos",1
"bot",1
"ch'eb",1
"ets'",1
"hup",1
"kah",1
"k'al",1
"nach",1
"pech'",1
"pen",1
"sot",1
"tak'",1
"tuch",1
"tsuk",1
"uuch'",1
"wek'",1
"bak'",2
"ch'ot",2
"ch'uk",2
"hoch'",2
"lech",2
"sop'",2
"t'in",2
"bech'",3
"hen",3
"mek",3
"boch'",4
"but'",4
"buh",5
"chach",5
"chaw",5
"cheh",5
"chul",5
"ch'ik",5
"kap",5
"kux",5
"k'eb",5
"let'",5
"loch",5
"lot",5
"nat'",5
"nox",5
"nuts'",5
"pich'",5
"p'ich",5
"tats'",5
"tich'",5
"tuch'",5
"t'el",5
"t'ol",5
"ts'op",5
"wak",5
"wol",5
"xol",5
"xun",5
"chil",6
"haw",6
"moch",6
"tuts'",6
"ts'ot",6
"chin",7
"hets'",7
"tsel",7
"wa'l",7
"choh",8
"ch'uy",8
"hay",8
"mok",8
"som",8
"t'il",8
"t'oy",8
"woh",8
"chok'",9
"t'ub",9
"tsay",9
"ch'aw",10
"ch'ox",10
"he'l",10
"het",10
"hot",10
"kul",10
"mot'",10
"nik",10
"nok",10
"och",10
"p'it",10
"p'uk",10
"t'on",10
"t'uch",10
"tsol",10
"xak",10
"ch'et",11
"hek",11
"k'op/k'ob",11
"pak",11
"pek'",11
"p'och",11
"p'ol",11
"ts'an",11
"hil",12
"tich",12
"huk",13
"lap",13
"mots",13
"p'ok",13
"xil",13
"kop",14
"sin",14
"kots'",15
"k'at",16
"tip'",16
"t'ich",16
"k'ech",17
"mul",17
"nak/nak'",17
"nux/nuch",17
"p'us",17
"tas",17
"t'es",17
"xach",17
"k'uy",18
"mech",19
"much'",19
"p'oh",19
"p'un",19
"t'al",19
"pach'",20
"pek",20
"tuk/tuk'",21
"tup/tup'",21
"ts'ap",21
